waybill,destination,expected_hub,observed_hub,status,delivery_days
SYN0001,DEMO_CITY_A,HUB_A,HUB_A,DELIVERED,3
SYN0002,DEMO_CITY_B,HUB_B,HUB_C,AT_CONTRACTOR_HUB,5
SYN0003,DEMO_CITY_C,HUB_C,HUB_C,RETURN_TO_SHIPPER,9
SYN0004,DEMO_CITY_A,HUB_A,HUB_B,AT_CONTRACTOR_HUB,7
SYN0005,DEMO_CITY_B,HUB_B,HUB_B,DELIVERED,2
SYN0006,DEMO_CITY_C,HUB_C,HUB_C,DELIVERED,4
SYN0007,DEMO_CITY_A,HUB_A,HUB_C,AT_CONTRACTOR_HUB,6
SYN0008,DEMO_CITY_B,HUB_B,HUB_B,DELIVERED,3
SYN0009,DEMO_CITY_C,HUB_C,HUB_C,RETURN_TO_SHIPPER,10
SYN0010,DEMO_CITY_A,HUB_A,HUB_A,DELIVERED,2
